Person,Party,State,Event,Type,Date,Link,Snippet
Bernie Sanders,Democratic,IA,Iowa Public Television,speech,17-Dec,http://www.p2016.org/chrniowa/iavisits14.html#d,"On December 17 he taped ""Iowa Press"" at Iowa Public Television in Johnston"
Bobby Jindal,Republican,IA,Polk County Republicans' fall Victory Dinner,speech,16-Dec,http://www.p2016.org/chrniowa/iavisits14.html,"Gov. Bobby Jindal spoke at Polk County Republicans' fall Victory Dinner at the West Des Moines Marriott in West Des Moines,Iowa on the evening of December 16, 2014."
Bobby Jindal,Republican,IA,Meetings with Iowa religious leaders,meeting,6-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Two closed-door meetings with Iowa religious leaders in Cedar Rapids and Des Moines sponsored by the American Renewal Project, a socially conservative group that organizers pastors on political matters. Invitation only; not open to public."
Chris Christie,Republican,IA,Inauguration of Gov. Terry Branstad at Community Choice Credit Union,attended event,16-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,http://www.cbs2iowa.com/news/features/top-stories/stories/chris-christie-attend-branstads-inauguration-33033.shtml
Chris Christie,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,Multi-candidate forum. Sponsored by Steve King and Citizens United.
Ted Cruz,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Cruz was booked to be one of several speakers at the inaugural Iowa Freedom Summit hosted by U.S. Rep. Steve King and Citizens United, a conservative organization best known for influencing campaign finance in this country. Sponsored by Steve King and Citizens United."
Mike Huckabee ,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Huckabee was booked to be one of several speakers at the inaugural Iowa Freedom Summit hosted by U.S. Rep. Steve King and Citizens United, a conservative organization best known for influencing campaign finance in this country. Sponsored by Steve King and Citizens United."
Mike Huckabee ,Republican,IA,Book Signing,public appearance,25-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,"book signings for God, Guns, Grits and Gravy at Barnes & Noble in Cedar Rapids; and at Walnut Creek Church in Windsor Heights."
Ben Carson,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,Iowa Freedom Summit.Sponsored by Steve King and Citizens United
Scott Walker,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://www.desmoinesregister.com/story/news/politics/2015/01/08/wisconsins-scott-walker-books-iowa-speech-president-freedom-summit/21437667/,Iowa Freedom Summit.Sponsored by Steve King and Citizens United
Carly Fiorina,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,Iowa Freedom Summit.Sponsored by Steve King and Citizens United
Rick Perry,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,Iowa Freedom Summit.Sponsored by Steve King and Citizens United
Rick Santorum,Republican,IA,,,23-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,"ABC reports he will be in IA, cannot find any events he will attend"
Rick Santorum,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,Iowa Freedom Summit.Sponsored by Steve King and Citizens United
Rick Santorum,Republican,IA,Siouxland Rally for Life,attended event,25-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,On January 25 he is scheduled to be the honorary guest at the 4th Annual Siouxland Rally for Life at Cornerstone World Outreach in Sioux City
Rick Santorum,Republican,IA,Scott County GOP Fundraiser,fundraiser (other),26-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,On January 26 he is scheduled to headline a Lincoln Club briefing fundraiser for the Scott County GOP at the Holiday Inn and Suites in Davenport.
Rick Santorum,Republican,IA,Iowa's Renewable Fuels Summit,attended event,27-Jan,http://www.desmoinesregister.com/story/news/politics/2015/01/08/santorum-dorgan-attend-iowa-renewable-fuels-summit/21457217/,Possible presidential contender Rick Santorum plans to attend Iowa's Renewable Fuels Summit
Carly Fiorina,Republican,NH,Independent Business Council of New Hampshire,speech,5-Dec,http://www.p2016.org/chrnnewh/nhvisits14.html,"Former HP CEO Carly Fiorina spoke at a breakfast hosted by the Independent Business Council of New Hampshire (chaired by Congressman-elect Frank Guinta) at the Bedford Country Club in Bedford, NH on December 5, 2014.  "
Rick Perry,Republican,NH,Sullivan County GOP Committee reception,attended event,11-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,"attended a Sullivan County GOP Committee reception at Dexter's Inn, Trails & Restaurant in Sunapee"
Rick Perry,Republican,NH,New Hampshire Federation of Republican Women reception,attended event,9-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,On November 9 he attended a New Hampshire Federation of Republican Women reception at The Draft in Concord
Rick Perry,Republican,NH,Town Hall at Dartmouth,speech,9-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,"did a town hall, hosted by Dartmouth CRs, at Dartmouth College in Hanover."
Rick Perry,Republican,NH,Manchester Expeditionary Brigade's U.S. Marine Corps,speech,10-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,spoke at the Manchester Expeditionary Brigade's U.S. Marine Corps 239th Birthday luncheon at Derryfield Restaurant in Manchester
Rick Perry,Republican,NH,Roundtable discussion,speech,10-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,"held a roundtable discussion, hosted by KSC Republicans, at Keene State College in Keene"
Rick Perry,Republican,NH,Cheshire County GOP Committee meeting,speech,10-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,spoke at a Cheshire County GOP Committee meeting at Kristin's Bistro & Bakery in Keene
Rand Paul,Republican,NH,Second Amendment Supporter Event,speech,14-Jan,http://www.p2016.org/chrnnewh/nhvisits15r.html,question and answer session on the Second Amendment with the Londonderry Fish and Game Club
Rand Paul,Republican,NH,Legislative leaders breakfast,meeting,14-Jan,http://nhjournal.com/update-rand-paul-to-host-events/,"""Legislative Leaders Breakfast"" early Wednesday at Murphy’s Diner in Manchester - breakfast meeting with state legislative leaders at Murphy's Diner in downtown Manchester, N.H."
Rand Paul,Republican,NH,Meet with local leaders,public appearance,14-Jan,http://www.courier-journal.com/story/politics-blog/2015/01/12/busy-week-takes-kentuckys-sen-rand-paul-to-new-hampshire-nevada-arizona/21632017/,"In the late afternoon Wednesday, Paul will meet with business leaders and activists at The Draft Sports Bar & Grill in the state capital of Concord, N.H."
Rand Paul,Republican,NH,Charter school tour,public appearance,14-Jan,http://www.courier-journal.com/story/politics-blog/2015/01/12/busy-week-takes-kentuckys-sen-rand-paul-to-new-hampshire-nevada-arizona/21632017/,Tour of Founders Academy
Rand Paul,Republican,NH,Common core Q&A,speech,14-Jan,http://www.randpac.com/2015/01/12/senator-rand-paul-meet-activists-new-hampshire/,Education Q&A Session on Common Core
Rand Paul,Republican,NH,Manchester mayor meeting,meeting,14-Jan,http://www.randpac.com/2015/01/12/senator-rand-paul-meet-activists-new-hampshire/,"Meeting with Mayor of Manchester, Ted Gatsas"
Rick Perry,Republican,NH,,,11-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,"Rick Perry is scheduled to visit NH on February 11-12, 2015"
Rick Perry,Republican,NH,,,12-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,"Rick Perry is scheduled to visit NH on February 11-12, 2015"
